Name,Code,Code description,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Tilt angle,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Correction type,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites,Device type,Device serial number
"(0,0)",,,481027.489,4400176.650,1744.251,,-105.22146395,39.75128790,1744.251,Global,0.4,0.012,0.012,0.011,0.017,2.134,m,FIX,RTK,2025-10-16 14:31:13.6 UTC-06:00,2025-10-16 14:31:13.6 UTC-06:00,1,1.2,1.4,481043.533,4400178.993,1745.262,-105.22127674,39.75130937,1745.262,16.267,,WGS 84 / UTM zone 13N,7,5,7,5,0,Reach RS3,82437308B6C6AD5B
"(5,0)",,,481031.550,4400179.520,1744.046,,-105.22141663,39.75131386,1744.046,Global,0.3,0.012,0.012,0.011,0.017,2.134,m,FIX,RTK,2025-10-16 14:31:28.6 UTC-06:00,2025-10-16 14:31:28.6 UTC-06:00,1,1.2,1.4,481043.533,4400178.993,1745.262,-105.22127674,39.75130937,1745.262,12.041,,WGS 84 / UTM zone 13N,7,5,7,5,0,Reach RS3,82437308B6C6AD5B
"(10,0)",,,481035.643,4400182.385,1743.889,,-105.22136894,39.75133976,1743.889,Global,0.2,0.012,0.012,0.011,0.017,2.134,m,FIX,RTK,2025-10-16 14:31:47.2 UTC-06:00,2025-10-16 14:31:47.2 UTC-06:00,1,1.2,1.4,481043.533,4400178.993,1745.262,-105.22127674,39.75130937,1745.262,8.633,,WGS 84 / UTM zone 13N,7,5,9,5,0,Reach RS3,82437308B6C6AD5B
"(15,0)",,,481039.628,4400185.311,1743.727,,-105.22132251,39.75136621,1743.727,Global,0.3,0.012,0.012,0.011,0.017,2.134,m,FIX,RTK,2025-10-16 14:32:02.4 UTC-06:00,2025-10-16 14:32:02.4 UTC-06:00,1,1.2,1.4,481043.533,4400178.993,1745.262,-105.22127674,39.75130937,1745.262,7.468,,WGS 84 / UTM zone 13N,7,5,9,5,0,Reach RS3,82437308B6C6AD5B
"(20,0)",,,481043.700,4400188.142,1743.552,,-105.22127506,39.75139181,1743.552,Global,0.3,0.012,0.012,0.011,0.017,2.134,m,FIX,RTK,2025-10-16 14:32:19.4 UTC-06:00,2025-10-16 14:32:19.4 UTC-06:00,1,1.2,1.4,481043.533,4400178.993,1745.262,-105.22127674,39.75130937,1745.262,9.178,,WGS 84 / UTM zone 13N,7,5,9,5,0,Reach RS3,82437308B6C6AD5B
"(20,10)",,,481037.830,4400196.266,1743.270,,-105.22134381,39.75146488,1743.270,Global,0.2,0.012,0.012,0.012,0.017,2.134,m,FIX,RTK,2025-10-16 14:32:42.0 UTC-06:00,2025-10-16 14:32:42.0 UTC-06:00,1,1.3,1.5,481043.533,4400178.993,1745.262,-105.22127674,39.75130937,1745.262,18.195,,WGS 84 / UTM zone 13N,7,5,9,5,0,Reach RS3,82437308B6C6AD5B
"(15,10)",,,481033.631,4400193.214,1743.437,,-105.22139273,39.75143729,1743.437,Global,0.6,0.012,0.012,0.014,0.017,2.134,m,FIX,RTK,2025-10-16 14:32:56.0 UTC-06:00,2025-10-16 14:32:56.0 UTC-06:00,1,1.3,1.5,481043.533,4400178.993,1745.262,-105.22127674,39.75130937,1745.262,17.344,,WGS 84 / UTM zone 13N,7,5,9,5,0,Reach RS3,82437308B6C6AD5B
"(10,10)",,,481029.739,4400190.460,1743.625,,-105.22143809,39.75141239,1743.625,Global,0.6,0.012,0.012,0.015,0.017,2.134,m,FIX,RTK,2025-10-16 14:33:09.4 UTC-06:00,2025-10-16 14:33:09.4 UTC-06:00,1,1.3,1.6,481043.533,4400178.993,1745.262,-105.22127674,39.75130937,1745.262,17.953,,WGS 84 / UTM zone 13N,7,5,9,5,0,Reach RS3,82437308B6C6AD5B
"(5,10)",,,481025.924,4400187.737,1743.735,,-105.22148254,39.75138777,1743.735,Global,0.2,0.012,0.012,0.012,0.017,2.134,m,FIX,RTK,2025-10-16 14:33:23.6 UTC-06:00,2025-10-16 14:33:23.6 UTC-06:00,1,1.3,1.5,481043.533,4400178.993,1745.262,-105.22127674,39.75130937,1745.262,19.688,,WGS 84 / UTM zone 13N,7,5,9,5,0,Reach RS3,82437308B6C6AD5B
"(0,10)",,,481021.800,4400184.872,1743.874,,-105.22153060,39.75136186,1743.874,Global,0.2,0.012,0.012,0.011,0.017,2.134,m,FIX,RTK,2025-10-16 14:33:47.2 UTC-06:00,2025-10-16 14:33:47.2 UTC-06:00,1,1.3,1.5,481043.533,4400178.993,1745.262,-105.22127674,39.75130937,1745.262,22.540,,WGS 84 / UTM zone 13N,7,5,9,5,0,Reach RS3,82437308B6C6AD5B
"(-5,10)",,,481017.731,4400182.023,1744.060,,-105.22157801,39.75133610,1744.060,Global,0.3,0.012,0.012,0.013,0.017,2.134,m,FIX,RTK,2025-10-16 14:34:03.0 UTC-06:00,2025-10-16 14:34:03.0 UTC-06:00,1,1.3,1.5,481043.533,4400178.993,1745.262,-105.22127674,39.75130937,1745.262,26.005,,WGS 84 / UTM zone 13N,7,5,8,5,0,Reach RS3,82437308B6C6AD5B
"(-10,10)",,,481013.774,4400179.120,1744.156,,-105.22162411,39.75130986,1744.156,Global,0.2,0.012,0.012,0.013,0.017,2.134,m,FIX,RTK,2025-10-16 14:34:18.8 UTC-06:00,2025-10-16 14:34:18.8 UTC-06:00,1,1.2,1.4,481043.533,4400178.993,1745.262,-105.22127674,39.75130937,1745.262,29.788,,WGS 84 / UTM zone 13N,7,5,9,5,0,Reach RS3,82437308B6C6AD5B
"(-15,10)",,,481009.384,4400176.047,1744.311,,-105.22167527,39.75128207,1744.311,Global,0.3,0.012,0.012,0.014,0.017,2.134,m,FIX,RTK,2025-10-16 14:34:37.2 UTC-06:00,2025-10-16 14:34:37.2 UTC-06:00,1,1.3,1.5,481043.533,4400178.993,1745.262,-105.22127674,39.75130937,1745.262,34.312,,WGS 84 / UTM zone 13N,7,6,9,5,0,Reach RS3,82437308B6C6AD5B
"(-20,10)",,,481005.660,4400173.282,1744.372,,-105.22171866,39.75125707,1744.372,Global,0.3,0.012,0.012,0.011,0.017,2.134,m,FIX,RTK,2025-10-16 14:34:50.0 UTC-06:00,2025-10-16 14:34:50.0 UTC-06:00,1,1.3,1.5,481043.533,4400178.993,1745.262,-105.22127674,39.75130937,1745.262,38.336,,WGS 84 / UTM zone 13N,7,6,9,5,0,Reach RS3,82437308B6C6AD5B
"(-20,20)",,,481000.157,4400181.621,1744.005,,-105.22178313,39.75133209,1744.005,Global,0.1,0.012,0.012,0.017,0.017,2.134,m,FIX,RTK,2025-10-16 14:35:18.4 UTC-06:00,2025-10-16 14:35:18.4 UTC-06:00,1,1.4,1.7,481043.533,4400178.993,1745.262,-105.22127674,39.75130937,1745.262,43.497,,WGS 84 / UTM zone 13N,7,6,8,5,0,Reach RS3,82437308B6C6AD5B
"(-15,20)",,,481003.591,4400184.202,1743.886,,-105.22174312,39.75135542,1743.886,Global,0.0,0.012,0.012,0.013,0.017,2.134,m,FIX,RTK,2025-10-16 14:35:38.0 UTC-06:00,2025-10-16 14:35:38.0 UTC-06:00,1,1.3,1.6,481043.533,4400178.993,1745.262,-105.22127674,39.75130937,1745.262,40.314,,WGS 84 / UTM zone 13N,7,6,9,5,0,Reach RS3,82437308B6C6AD5B
"(-10,20)",,,481008.181,4400187.440,1743.835,,-105.22168964,39.75138470,1743.835,Global,0.2,0.012,0.012,0.021,0.017,2.134,m,FIX,RTK,2025-10-16 14:36:00.0 UTC-06:00,2025-10-16 14:36:00.0 UTC-06:00,1,1.5,1.8,481043.533,4400178.993,1745.262,-105.22127674,39.75130937,1745.262,36.384,,WGS 84 / UTM zone 13N,7,6,8,5,0,Reach RS3,82437308B6C6AD5B
"(-5,20)",,,481012.236,4400190.360,1743.592,,-105.22164239,39.75141110,1743.592,Global,0.2,0.012,0.012,0.016,0.017,2.134,m,FIX,RTK,2025-10-16 14:36:18.0 UTC-06:00,2025-10-16 14:36:18.0 UTC-06:00,1,1.3,1.5,481043.533,4400178.993,1745.262,-105.22127674,39.75130937,1745.262,33.331,,WGS 84 / UTM zone 13N,7,6,8,5,0,Reach RS3,82437308B6C6AD5B
"(0,20)",,,481016.281,4400193.107,1743.486,,-105.22159525,39.75143594,1743.486,Global,0.2,0.012,0.012,0.015,0.017,2.134,m,FIX,RTK,2025-10-16 14:36:33.0 UTC-06:00,2025-10-16 14:36:33.0 UTC-06:00,1,1.4,1.6,481043.533,4400178.993,1745.262,-105.22127674,39.75130937,1745.262,30.722,,WGS 84 / UTM zone 13N,7,6,9,5,0,Reach RS3,82437308B6C6AD5B
"(5,20)",,,481020.343,4400196.015,1743.275,,-105.22154793,39.75146223,1743.275,Global,0.4,0.012,0.012,0.021,0.017,2.134,m,FIX,RTK,2025-10-16 14:36:46.4 UTC-06:00,2025-10-16 14:36:46.4 UTC-06:00,1,1.4,1.6,481043.533,4400178.993,1745.262,-105.22127674,39.75130937,1745.262,28.800,,WGS 84 / UTM zone 13N,7,6,9,5,0,Reach RS3,82437308B6C6AD5B
"(10,20)",,,481023.884,4400198.602,1743.158,,-105.22150667,39.75148562,1743.158,Global,0.3,0.012,0.012,0.014,0.017,2.134,m,FIX,RTK,2025-10-16 14:37:01.2 UTC-06:00,2025-10-16 14:37:01.2 UTC-06:00,1,1.6,2.0,481043.533,4400178.993,1745.262,-105.22127674,39.75130937,1745.262,27.788,,WGS 84 / UTM zone 13N,5,5,9,5,0,Reach RS3,82437308B6C6AD5B
"(15,20)",,,481027.613,4400201.237,1743.084,,-105.22146322,39.75150944,1743.084,Global,0.3,0.014,0.016,0.034,0.021,2.134,m,FIX,RTK,2025-10-16 14:37:15.8 UTC-06:00,2025-10-16 14:37:15.8 UTC-06:00,1,1.6,1.9,481043.533,4400178.993,1745.262,-105.22127674,39.75130937,1745.262,27.382,,WGS 84 / UTM zone 13N,7,6,9,5,0,Reach RS3,82437308B6C6AD5B
"(20,20)",,,481032.071,4400204.326,1742.989,,-105.22141127,39.75153737,1742.989,Global,0.1,0.012,0.012,0.016,0.017,2.134,m,FIX,RTK,2025-10-16 14:38:15.8 UTC-06:00,2025-10-16 14:38:15.8 UTC-06:00,1,1.4,1.7,481043.533,4400178.993,1745.262,-105.22127674,39.75130937,1745.262,27.824,,WGS 84 / UTM zone 13N,7,6,9,5,0,Reach RS3,82437308B6C6AD5B
