"Trace Number","Position","Number of points per trace","Elevation data","Total odometer ticks","# bytes/point","Time Sampling Interval (ps)","# of stacks","GPS X Position","GPS Y Position","GPS Z Position","Receiver X Position","Receiver Y Position","Receiver Z Position","Transmitter X Position","Transmitter Y Position","Transmitter Z Position","Timezero adjustment","Zero Trace Flag","Time of Day","Comment flag","Comments","RX_YAW (degrees)","RX_PITCH (degrees)","RX_ROLL (degrees)","TX_YAW (degrees)","TX_PITCH (degrees)","TX_ROLL (degrees)",
22,2.100,200,1760.614,2268,4,400.000,4,-105.2211211,39.7515501,1760.6137778,0.000,2.100,0.000,0.000,2.100,0.000,21.000,"0x0",606.80316162109375,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
23,2.200,200,1760.613,2376,4,400.000,4,-105.2211217,39.7515498,1760.6128889,0.000,2.200,0.000,0.000,2.200,0.000,21.000,"0x0",606.91552734375,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
24,2.300,200,1760.612,2484,4,400.000,4,-105.2211225,39.7515494,1760.6120000,0.000,2.300,0.000,0.000,2.300,0.000,21.000,"0x0",607.01727294921875,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
25,2.400,200,1760.615,2592,4,400.000,4,-105.2211232,39.7515491,1760.6148889,0.000,2.400,0.000,0.000,2.400,0.000,21.000,"0x0",607.11968994140625,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
26,2.500,200,1760.618,2700,4,400.000,4,-105.2211239,39.7515487,1760.6177778,0.000,2.500,0.000,0.000,2.500,0.000,21.000,"0x0",607.22711181640625,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
27,2.600,200,1760.621,2808,4,400.000,4,-105.2211246,39.7515484,1760.6206667,0.000,2.600,0.000,0.000,2.600,0.000,21.000,"0x0",607.33221435546875,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
28,2.700,200,1760.624,2916,4,400.000,4,-105.2211253,39.7515480,1760.6235556,0.000,2.700,0.000,0.000,2.700,0.000,21.000,"0x0",607.452880859375,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
29,2.800,200,1760.626,3024,4,400.000,4,-105.2211260,39.7515476,1760.6264444,0.000,2.800,0.000,0.000,2.800,0.000,21.000,"0x0",607.55743408203125,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
30,2.900,200,1760.629,3132,4,400.000,4,-105.2211267,39.7515473,1760.6293333,0.000,2.900,0.000,0.000,2.900,0.000,21.000,"0x0",607.66790771484375,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
31,3.000,200,1760.632,3240,4,400.000,4,-105.2211275,39.7515469,1760.6322222,0.000,3.000,0.000,0.000,3.000,0.000,21.000,"0x0",607.776123046875,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
32,3.100,200,1760.635,3348,4,400.000,4,-105.2211282,39.7515466,1760.6351111,0.000,3.100,0.000,0.000,3.100,0.000,21.000,"0x0",607.88232421875,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
33,3.200,200,1760.638,3456,4,400.000,4,-105.2211289,39.7515462,1760.6380000,0.000,3.200,0.000,0.000,3.200,0.000,21.000,"0x0",607.97918701171875,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
34,3.300,200,1760.639,3564,4,400.000,4,-105.2211295,39.7515458,1760.6392000,0.000,3.300,0.000,0.000,3.300,0.000,21.000,"0x0",608.075927734375,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
35,3.400,200,1760.640,3672,4,400.000,4,-105.2211302,39.7515454,1760.6404000,0.000,3.400,0.000,0.000,3.400,0.000,21.000,"0x0",608.1690673828125,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
36,3.500,200,1760.642,3780,4,400.000,4,-105.2211309,39.7515451,1760.6416000,0.000,3.500,0.000,0.000,3.500,0.000,21.000,"0x0",608.26019287109375,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
37,3.600,200,1760.643,3888,4,400.000,4,-105.2211316,39.7515447,1760.6428000,0.000,3.600,0.000,0.000,3.600,0.000,21.000,"0x0",608.3531494140625,0,"",471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,471.20049071573436,
