Line,Lineset\South (CTK Side) Line 1-ch2
Time (ns),Average Amplitude (mV)
0,16.8608
0.4,17.3669
0.8,14.3876
1.2,8.35139
1.6,1.67364
2,4.26248
2.4,8.66546
2.8,12.1689
3.2,13.2155
3.6,12.8181
4,10.3195
4.4,5.86973
4.8,1.0207
5.2,3.54487
5.6,5.95692
6,6.92465
6.4,6.508
6.8,5.19389
7.2,3.57641
7.6,2.15962
8,0.53778
8.4,0.40982
8.8,1.25802
9.2,1.56931
9.6,1.32022
10,1.30336
10.4,0.891286
10.8,0.58036
11.2,0.403353
11.6,0.0871231
12,0.34079
12.4,0.517361
12.8,0.578035
13.2,0.4944
13.6,0.165454
14,0.0701199
14.4,0.381917
14.8,0.419993
15.2,0.430238
15.6,0.442373
16,0.0160585
16.4,0.0408367
16.8,0.0930088
17.2,0.146344
17.6,0.159132
18,0.231577
18.4,0.120403
18.8,0.100638
19.2,0.061473
19.6,0.35634
20,0.0222349
20.4,0.0287746
20.8,0.0128614
21.2,0.0277573
21.6,0.185146
22,0.0419993
22.4,0.0348056
22.8,0.0595838
23.2,0.206945
23.6,0.0366222
24,0.000581305
24.4,0.0720092
24.8,0.00799294
25.2,0.11459
25.6,0.00486843
26,0.0719365
26.4,0.0289199
26.8,0.0446152
27.2,0.0869051
27.6,0.00770229
28,0.106597
28.4,0.103036
28.8,0.00123527
29.2,0.0792028
29.6,0.0648882
30,0.144818
30.4,0.0515182
30.8,0.107469
31.2,0.0863964
31.6,0.239788
32,0.0971506
32.4,0.159786
32.8,0.047449
33.2,0.0730264
33.6,0.00450511
34,0.211159
34.4,0.033643
34.8,0.0326257
35.2,0.128032
35.6,0.0682307
36,0.144382
36.4,0.081746
36.8,0.0398194
37.2,0.00908289
37.6,0.0417813
38,0.0310998
38.4,0.129849
38.8,0.192921
39.2,0.0649608
39.6,0.0247781
40,0.0762963
40.4,0.0351689
40.8,0.0658328
41.2,0.13232
41.6,0.0558779
42,0.0362589
42.4,0.067722
42.8,0.0119894
43.2,0.0765143
43.6,0.000435979
44,0.129122
44.4,0.0183111
44.8,0.0674314
45.2,0.000508642
45.6,0.108195
46,0.11895
46.4,0.0970779
46.8,0.00319718
47.2,0.0288473
47.6,0.0292106
48,0.0731718
48.4,0.0323351
48.8,0.220387
49.2,0.0127887
49.6,0.0797114
50,0.143582
50.4,0.0308092
50.8,0.0837806
51.2,0.00406913
51.6,0.10042
52,0.0230342
52.4,0.118732
52.8,0.0368402
53.2,0.0203457
53.6,0.00617637
54,0.11924
54.4,0.100493
54.8,0.100202
55.2,0.145617
55.6,0.14569
56,0.0561686
56.4,0.060819
56.8,0.0764416
57.2,0.1547
57.6,0.0130067
58,0.0283386
58.4,0.0708465
58.8,0.168869
59.2,0.0192557
59.6,0.0385115
60,0.138278
60.4,0.00385115
60.8,0.0787668
61.2,0.026522
61.6,0.146852
62,0.0383661
62.4,0.114081
62.8,0.014242
63.2,0.0130794
63.6,0.020927
64,0.0104635
64.4,0.00210723
64.8,0.0172938
65.2,0.0925728
65.6,0.0626356
66,0.101946
66.4,0.0789121
66.8,0.0459957
67.2,0.0733171
67.6,0.0664868
68,0.146053
68.4,0.061037
68.8,0.0194737
69.2,0.0149686
69.6,0.0520995
70,0.00472311
70.4,0.047449
70.8,0.0489749
71.2,0.0505009
71.6,0.0247055
72,0.0816733
72.4,0.0591478
72.8,0.0274667
73.2,0.0175118
73.6,0.0293559
74,0.0348056
74.4,0.0161312
74.8,0.223657
75.2,0.0694659
75.6,0.0123527
76,0.011063
76.4,0.00939649
76.8,0.145895
77.2,0.0225298
77.6,0.0691435
78,0.101423
78.4,0.109322
78.8,0.0512946
79.2,0.0156407
79.6,0.0504943
