reference 1,4400235.437,481048.835,1741.779,
reference 2,4400232.332,481051.539,1741.806,
reference 3,4400227.669,481053.108,1741.907,
reference 4,4400223.708,481050.123,1742.090,
reference 5,4400232.339,481043.609,1741.876,
base  total,4400228.320,481045.772,1742.151,
-10,4400216.203,481045.768,1742.355,
-8,4400217.361,481047.392,1742.292,
-6,4400218.545,481049.027,1742.235,
-5,4400219.109,481049.857,1742.217,
-4,4400219.698,481050.661,1742.193,
-3,4400220.253,481051.492,1742.162,
-2.5,4400220.508,481051.937,1742.147,
-2.0,4400220.860,481052.305,1742.125,
-1.5,4400220.859,481052.305,1742.125,
-1.25,4400221.131,481052.720,1742.114,
-1.26,4400221.267,481052.931,1742.101,
-1.0,4400221.412,481053.136,1742.096,
-0.75,4400221.562,481053.353,1742.092,
-0.5,4400221.694,481053.553,1742.087,
-0.25,4400221.846,481053.746,1742.080,
0,4400221.991,481053.955,1742.078,
0.25,4400222.113,481054.146,1742.077,
0.50,4400222.258,481054.329,1742.065,
0.75,4400222.402,481054.542,1742.052,
1,4400222.557,481054.736,1742.052,
1.5,4400222.830,481055.154,1742.024,
2,4400223.113,481055.569,1742.005,
3,4400223.692,481056.384,1741.991,
4,4400224.258,481057.211,1741.987,
5,4400224.832,481058.027,1741.953,
6,4400225.408,481058.837,1741.950,
7,4400226.002,481059.657,1741.931,
8,4400226.599,481060.464,1741.908,
10,4400227.742,481062.097,1741.867,
1.25,4400222.715,481054.937,1742.027,
