Line,Lineset\South (CTK Side) Line 1-ch2
Frequency (MHz),Average Amplitude (mV)
0,0.0703031
4.88281,0.0699339
9.76563,0.0704503
14.6484,0.0707678
19.5313,0.0709589
24.4141,0.0728328
29.2969,0.0735544
34.1797,0.0753459
39.0625,0.0788388
43.9453,0.0853036
48.8281,0.094656
53.7109,0.102194
58.5938,0.113827
63.4766,0.128375
68.3594,0.145715
73.2422,0.16836
78.125,0.193904
83.0078,0.221032
87.8906,0.241146
92.7734,0.264908
97.6563,0.298958
102.539,0.326267
107.422,0.349845
112.305,0.372098
117.188,0.394277
122.07,0.422445
126.953,0.441671
131.836,0.455011
136.719,0.480198
141.602,0.505254
146.484,0.519129
151.367,0.534564
156.25,0.546828
161.133,0.541324
166.016,0.538076
170.898,0.535943
175.781,0.518319
180.664,0.506958
185.547,0.492628
190.43,0.465731
195.313,0.443049
200.195,0.414449
205.078,0.398682
209.961,0.39181
214.844,0.360685
219.727,0.332881
224.609,0.316545
229.492,0.298248
234.375,0.2836
239.258,0.266803
244.141,0.25341
249.023,0.235908
253.906,0.213417
258.789,0.200698
263.672,0.18405
268.555,0.164343
273.438,0.153189
278.32,0.140175
283.203,0.124628
288.086,0.119749
292.969,0.115537
297.852,0.106135
302.734,0.106729
307.617,0.106226
312.5,0.106473
317.383,0.109882
322.266,0.105094
327.148,0.105383
332.031,0.104935
336.914,0.100603
341.797,0.099668
346.68,0.0961239
351.563,0.0983435
356.445,0.0995031
361.328,0.0995234
366.211,0.105007
371.094,0.105326
375.977,0.105444
380.859,0.10326
385.742,0.101424
390.625,0.10688
395.508,0.104694
400.391,0.101216
405.273,0.102527
410.156,0.0998583
415.039,0.0969612
419.922,0.0924433
424.805,0.0912294
429.688,0.0928672
434.57,0.0863768
439.453,0.0825039
444.336,0.0825625
449.219,0.0786134
454.102,0.0760806
458.984,0.0745765
463.867,0.0750848
468.75,0.0723989
473.633,0.0661078
478.516,0.063346
483.398,0.0571463
488.281,0.060291
493.164,0.0693612
498.047,0.067098
502.93,0.060997
507.813,0.0546944
512.695,0.0604827
517.578,0.0660257
522.461,0.0550479
527.344,0.0528879
532.227,0.054404
537.109,0.0500933
541.992,0.0521908
546.875,0.051833
551.758,0.0542414
556.641,0.0532568
561.523,0.051569
566.406,0.0559739
571.289,0.0505199
576.172,0.050415
581.055,0.0550771
585.938,0.0494848
590.82,0.0499672
595.703,0.0502505
600.586,0.0424533
605.469,0.0441575
610.352,0.0485104
615.234,0.0460274
620.117,0.0510757
625,0.0587376
629.883,0.052588
634.766,0.0401194
639.648,0.0392692
644.531,0.043252
649.414,0.0451849
654.297,0.0456821
659.18,0.0440974
664.063,0.0428743
668.945,0.0409645
673.828,0.0428191
678.711,0.0487805
683.594,0.045617
688.477,0.0399275
693.359,0.0390407
698.242,0.0338761
703.125,0.030545
708.008,0.0318028
712.891,0.0424606
717.773,0.0477538
722.656,0.0372037
727.539,0.0354109
732.422,0.0390523
737.305,0.036455
742.188,0.0366533
747.07,0.0343407
751.953,0.0368859
756.836,0.0383992
761.719,0.035889
766.602,0.0393337
771.484,0.0389793
776.367,0.033186
781.25,0.032126
786.133,0.0370436
791.016,0.0368616
795.898,0.0333259
800.781,0.0358115
805.664,0.0383178
810.547,0.0360872
815.43,0.0327114
820.313,0.038615
825.195,0.0382844
830.078,0.0314998
834.961,0.0385411
839.844,0.0363419
844.727,0.0330344
849.609,0.0374542
854.492,0.0341376
859.375,0.0396613
864.258,0.0382026
869.141,0.0313521
874.023,0.0349771
878.906,0.0310087
883.789,0.0344484
888.672,0.0346243
893.555,0.0271364
898.438,0.0336023
903.32,0.033881
908.203,0.0346658
913.086,0.0380858
917.969,0.0337335
922.852,0.0348312
927.734,0.0393626
932.617,0.0395198
937.5,0.0372066
942.383,0.0384685
947.266,0.0402557
952.148,0.0353885
957.031,0.0346145
961.914,0.0383589
966.797,0.0366191
971.68,0.0341131
976.563,0.0328039
981.445,0.0305852
986.328,0.0300612
991.211,0.0312479
996.094,0.0316082
1000.98,0.0320369
1005.86,0.0336296
1010.74,0.0326726
1015.63,0.0298373
1020.51,0.0295722
1025.39,0.0303079
1030.27,0.0319275
1035.16,0.0311258
1040.04,0.0252853
1044.92,0.0251874
1049.8,0.0289752
1054.69,0.0288044
1059.57,0.0318752
1064.45,0.0350332
1069.34,0.0310283
1074.22,0.0308419
1079.1,0.0365065
1083.98,0.0322157
1088.87,0.0259269
1093.75,0.0268704
1098.63,0.0225362
1103.52,0.0255217
1108.4,0.0302128
1113.28,0.0283325
1118.16,0.0302645
1123.05,0.031958
1127.93,0.0322365
1132.81,0.0319358
1137.7,0.03443
1142.58,0.0360296
1147.46,0.0314897
1152.34,0.0341277
1157.23,0.0323021
1162.11,0.0248564
1166.99,0.0341306
1171.88,0.0376191
1176.76,0.0343587
1181.64,0.0342588
1186.52,0.0345011
1191.41,0.0370951
1196.29,0.033708
1201.17,0.0269372
1206.05,0.0335071
1210.94,0.0367869
1215.82,0.0275327
1220.7,0.0273725
1225.59,0.036703
1230.47,0.0360699
1235.35,0.0321581
1240.23,0.0302117
1245.12,0.0293409
1250,0.0302354
