Line,Lineset\South (CTK Side) Line 1 (E-W)-ch2
Time (ns),Average Amplitude (mV)
-528.024,0.107774
-527.624,0.0907126
-527.224,0.0640307
-526.824,0.101975
-526.424,0.0960752
-526.024,0.0535818
-525.624,0.0473182
-525.224,0.132058
-524.824,0.0780402
-524.424,0.130169
-524.024,0.152941
-523.624,0.177182
-523.224,0.0578108
-522.824,0.0854373
-522.424,0.031841
-522.024,0.112468
-521.624,0.0932413
-521.224,0.0766305
-520.824,0.142507
-520.424,0.0750319
-520.024,0.0290216
-519.624,0.0737095
-519.224,0.0838823
-518.824,0.102833
-518.424,0.111422
-518.024,0.106757
-517.624,0.0863528
-517.224,0.0903784
-516.824,0.0792319
-516.424,0.0885182
-516.024,0.052114
-515.624,0.151372
-515.224,0.0993741
-514.824,0.130634
-514.424,0.0655131
-514.024,0.0782436
-513.624,0.0919915
-513.224,0.152171
-512.824,0.125097
-512.424,0.13229
-512.024,0.178533
-511.624,0.0542358
-511.224,0.115157
-510.824,0.119124
-510.424,0.0582177
-510.024,0.0823273
-509.624,0.108428
-509.224,0.119851
-508.824,0.0850885
-508.424,0.103777
-508.024,0.102876
-507.624,0.107367
-507.224,0.107745
-506.824,0.108995
-506.424,0.107759
-506.024,0.172255
-505.624,0.108602
-505.224,0.0813246
-504.824,0.0287165
-504.424,0.0808595
-504.024,0.0590315
-503.624,0.0680417
-503.224,0.0420138
-502.824,0.121013
-502.424,0.119763
-502.024,0.025374
-501.624,0.0788976
-501.224,0.122917
-500.824,0.13636
-500.424,0.0856843
-500.024,0.0838532
-499.624,0.103923
-499.224,0.182951
-498.824,0.06903
-498.424,0.125504
-498.024,0.122263
-497.624,0.0547153
-497.224,0.162475
-496.824,0.131593
-496.424,0.142115
-496.024,0.0591332
-495.624,0.0474781
-495.224,0.0641325
-494.824,0.0429584
-494.424,0.140153
-494.024,0.132305
-493.624,0.0785634
-493.224,0.108806
-492.824,0.0738112
-492.424,0.137144
-492.024,0.0633186
-491.624,0.0561395
-491.224,0.0873992
-490.824,0.136316
-490.424,0.0737385
-490.024,0.0999699
-489.624,0.144803
-489.224,0.0668501
-488.824,0.106408
-488.424,0.0756132
-488.024,0.087748
-487.624,0.0570987
-487.224,0.0784326
-486.824,0.0608481
-486.424,0.0744797
-486.024,0.0564738
-485.624,0.123992
-485.224,0.065702
-484.824,0.0677656
-484.424,0.0857425
-484.024,0.0777205
-483.624,0.0830685
-483.224,0.0812519
-482.824,0.0568952
-482.424,0.132363
-482.024,0.0564447
-481.624,0.0904656
-481.224,0.104838
-480.824,0.120345
-480.424,0.174551
-480.024,0.0918898
-479.624,0.0989236
-479.224,0.0611823
-478.824,0.14569
-478.424,0.0799149
-478.024,0.0915846
-477.624,0.0906254
-477.224,0.107454
-476.824,0.149889
-476.424,0.0926164
-476.024,0.0517652
-475.624,0.0921368
-475.224,0.147782
-474.824,0.0800166
-474.424,0.09468
-474.024,0.121318
-473.624,0.11706
-473.224,0.136694
-472.824,0.0543229
-472.424,0.168971
-472.024,0.0641615
-471.624,0.0909161
-471.224,0.0614585
-470.824,0.0861494
-470.424,0.104184
-470.024,0.131389
-469.624,0.0928635
-469.224,0.0980516
-468.824,0.0416796
-468.424,0.0785052
-468.024,0.0905964
-467.624,0.148611
-467.224,0.104402
-466.824,0.122089
-466.424,0.0951887
-466.024,0.0464317
-465.624,0.0200986
-465.224,0.0841294
-464.824,0.147085
-464.424,0.0803363
-464.024,0.0814554
-463.624,0.0555437
-463.224,0.0858587
-462.824,0.112977
-462.424,0.111247
-462.024,0.0870359
-461.624,0.0226273
-461.224,0.0822547
-460.824,0.0632024
-460.424,0.144803
-460.024,0.10571
-459.624,0.113296
-459.224,0.106539
-458.824,0.0779094
-458.424,0.0769357
-458.024,0.104344
-457.624,0.0990544
-457.224,0.0655712
-456.824,0.0825017
-456.424,0.0735641
-456.024,0.0556018
-455.624,0.0947382
-455.224,0.0479722
-454.824,0.0776187
-454.424,0.11475
-454.024,0.0822837
-453.624,0.0973976
-453.224,0.0718348
-452.824,0.119284
-452.424,0.0700763
-452.024,0.0732299
-451.624,0.135066
-451.224,0.162082
-450.824,0.0983713
-450.424,0.0760492
-450.024,0.100755
