"","TRACE",1,2,3,4,5
"","Position (m)",0,0.10000000000000001,0.20000000000000001,0.30000000000000004,0.40000000000000002
"Point","Time (ns)"
139,-592.82399999999996,-1,6,-117,-17,-95
140,-592.42399999999998,35,-140,48,126,-61
141,-592.024,63,112,-157,-41,-50
142,-591.62400000000002,-80,79,99,85,-155
143,-591.22400000000005,53,-58,10,-71,96
144,-590.82399999999996,116,43,-305,80,-9
145,-590.42399999999998,-67,65,-59,16,-145
146,-590.024,101,-11,3,-96,139
147,-589.62400000000002,-2,10,-108,-36,-132
148,-589.22400000000005,80,-3,126,-16,92
149,-588.82399999999996,61,-10,-18,-72,-48
150,-588.42399999999998,-5,-51,-83,-156,-49
151,-588.024,65,8,-39,-34,-69
152,-587.62400000000002,-56,12,130,-13,-94
153,-587.22400000000005,-37,67,3,1,37
154,-586.82399999999996,59,40,-101,-95,172
155,-586.42399999999998,-22,158,-30,-139,-34
156,-586.024,5,44,10,-55,28
157,-585.62400000000002,-56,-76,-152,81,45
158,-585.22400000000005,235,-39,102,-16,25
159,-584.82399999999996,-74,-194,-31,67,101
160,-584.42399999999998,-26,7,-33,-105,56
161,-584.024,102,61,-102,-62,59
162,-583.62400000000002,50,-4,122,-169,37
163,-583.22400000000005,63,177,1,-19,-58
164,-582.82399999999996,73,-35,33,-31,-63
165,-582.42399999999998,-112,-28,-14,80,0
166,-582.024,-39,-23,-58,20,-2
167,-581.62400000000002,-42,25,99,-179,-170
168,-581.22400000000005,72,-44,53,-84,37
169,-580.82399999999996,57,-52,-29,153,-221
170,-580.42399999999998,-90,-27,51,34,109
171,-580.024,116,52,-85,122,65
172,-579.62400000000002,23,2,-44,-26,61
173,-579.22400000000005,50,-32,86,38,34
174,-578.82399999999996,-91,39,9,115,-72
175,-578.42399999999998,-63,4,-25,115,71
176,-578.024,7,-107,-172,75,152
177,-577.62400000000002,-83,-30,43,8,18
178,-577.22400000000005,14,36,91,2,3
179,-576.82399999999996,-75,-145,-9,13,-2
180,-576.42399999999998,80,13,162,38,9
181,-576.024,-135,-90,7,-39,-2
182,-575.62400000000002,15,-30,-51,9,26
183,-575.22400000000005,94,74,-24,-19,17
184,-574.82399999999996,-24,-60,67,75,-52
185,-574.42399999999998,54,-11,26,-77,-7
186,-574.024,-73,-135,-62,149,-13
187,-573.62400000000002,29,-55,5,-106,-21
188,-573.22400000000005,113,17,79,76,28
189,-572.82399999999996,71,-90,-9,-2,-70
190,-572.42399999999998,-33,138,-57,-71,104
191,-572.024,-124,-114,-33,65,-64
192,-571.62400000000002,-79,95,72,32,-185
193,-571.22400000000005,-22,-41,37,3,24
194,-570.82399999999996,-54,82,92,-3,-36
195,-570.42399999999998,42,-36,48,68,90
196,-570.024,55,91,-22,83,25
197,-569.62400000000002,-77,64,12,-101,-71
198,-569.22400000000005,-64,-75,-1,40,57
199,-568.82399999999996,-19,-46,-6,-84,-88
200,-568.42399999999998,-42,52,-55,59,-9
201,-568.024,-69,-39,-122,168,12
202,-567.62400000000002,71,192,-29,-46,-41
203,-567.22400000000005,-21,25,77,54,104
204,-566.82399999999996,90,-68,30,76,-72
205,-566.42399999999998,-179,13,-62,-104,13
206,-566.024,36,-1,103,-64,-143
207,-565.62400000000002,168,-34,49,22,-146
208,-565.22400000000005,164,60,54,-11,77
209,-564.82399999999996,9,-6,25,-13,-21
210,-564.42399999999998,56,34,109,14,149
211,-564.024,-99,7,25,-135,23
212,-563.62400000000002,-20,88,179,-235,-168
213,-563.22400000000005,129,-26,-79,34,138
214,-562.82399999999996,-128,-62,-49,-168,-21
215,-562.42399999999998,-12,59,-1,99,-72
216,-562.024,-202,-49,35,46,-12
217,-561.62400000000002,-66,50,51,131,91
218,-561.22400000000005,264,66,3,122,185
219,-560.82399999999996,-100,-84,-33,-140,-3
220,-560.42399999999998,54,-115,-75,-70,64
221,-560.024,-110,33,7,87,-118
222,-559.62400000000002,-37,14,14,113,-12
223,-559.22400000000005,107,30,29,-34,82
224,-558.82399999999996,-96,133,4,-37,65
225,-558.42399999999998,69,-28,79,-136,193
226,-558.024,76,35,133,72,-19
227,-557.62400000000002,246,31,-83,-172,6
228,-557.22400000000005,-18,7,22,20,17
229,-556.82399999999996,-12,1,26,6,-8
230,-556.42399999999998,117,40,78,42,5
231,-556.024,-32,-105,-87,19,-15
232,-555.62400000000002,153,57,54,126,137
233,-555.22400000000005,-136,-5,37,33,151
234,-554.82399999999996,-210,6,-114,98,-127
235,-554.42399999999998,-114,-62,66,117,73
236,-554.024,-35,122,49,69,-55
237,-553.62400000000002,110,-32,3,-75,-88
238,-553.22400000000005,-16,-23,-214,-13,55
239,-552.82399999999996,-94,25,59,-92,57
240,-552.42399999999998,-19,88,-48,-63,10
