Date (MM/DD/YYYY),Time (HH:MM:SS.S MST),MST (Sec),Latitude (Deg N),Longitude (Deg E),Mag (nT),Easting (m),Northing (m),UTM Zone
11/20/2025,15:28:41.7,55721.7,39.75130466,-105.221529,50345.108082803046,481021.9209556414,4400178.523165656,13S
11/20/2025,15:28:41.8,55721.8,39.75130544,-105.2215297,50334.96417352462,481021.86120160285,4400178.609882689,13S
11/20/2025,15:28:41.9,55721.9,39.75130622,-105.2215303,50323.22383061551,481021.810014433,4400178.69657854,13S
11/20/2025,15:28:42.0,55722.0,39.751307,-105.2215309,50315.01107132878,481021.75882725994,4400178.783274393,13S
11/20/2025,15:28:42.1,55722.1,39.75130796,-105.2215318,50312.14399584884,481021.6819888838,4400178.890011196,13S
11/20/2025,15:28:42.2,55722.2,39.75130892,-105.2215326,50313.74153560128,481021.6137173748,4400178.996726821,13S
11/20/2025,15:28:42.3,55722.3,39.75130989,-105.2215335,50315.737588586046,481021.5368817448,4400179.104573484,13S
11/20/2025,15:28:42.4,55722.4,39.75131085,-105.2215343,50319.17947842515,481021.4686102419,4400179.211289107,13S
11/20/2025,15:28:42.5,55722.5,39.75131181,-105.2215352,50324.40307843649,481021.39177187195,4400179.318025914,13S
11/20/2025,15:28:42.6,55722.6,39.75131277,-105.221536,50333.79198901796,481021.3235003708,4400179.42474154,13S
11/20/2025,15:28:42.7,55722.7,39.75131373,-105.2215369,50344.69808125869,481021.24666200724,4400179.531478349,13S
11/20/2025,15:28:42.8,55722.8,39.7513147,-105.2215377,50358.17772574346,481021.1783932541,4400179.639303834,13S
11/20/2025,15:28:42.9,55722.9,39.75131566,-105.2215386,50372.78879319436,481021.1015548926,4400179.746040643,13S
11/20/2025,15:28:43.0,55723.0,39.75131662,-105.2215394,50390.60384462458,481021.03328340146,4400179.852756272,13S
11/20/2025,15:28:43.1,55723.1,39.75131754,-105.2215402,50408.71471734489,481020.96500093123,4400179.955032479,13S
