"X(m)","Y(m)","Longitude","Latitude","GPS-Easting (Z=13S)","GPS-Northing (Z=13S)","Amplitude (mV)","Elevation(m)"
75.499998289474888,0,-105.22161158985189,39.751284339821467,481014.84002348041,4400176.2802589666,1.696523940563202,1762.0238181818181
75.599998287209289,0,-105.22161227424584,39.75128394830633,481014.78128486511,4400176.2369514387,1.4453565716743468,1762.0250909090907
75.699998284943689,0,-105.2216129586398,39.751283556791179,481014.7225462498,4400176.1936439117,1.3666188240051269,1762.0263636363636
75.799998282678104,0,-105.22161364303373,39.751283165276043,481014.6638076345,4400176.1503363848,1.5558336496353149,1762.0276363636365
75.899998280412504,0,-105.22161432742766,39.751282773760892,481014.60506901919,4400176.1070288569,1.41727956533432,1762.0289090909091
75.999998278146904,0,-105.22161501182158,39.751282382245726,481014.54633040389,4400176.063721329,1.6385387897491455,1762.0301818181817
76.099998275881305,0,-105.22161569621549,39.751281990730575,481014.48759178858,4400176.020413802,1.6641743421554565,1762.0314545454546
76.199998273615705,0,-105.2216163806094,39.751281599215403,481014.42885317327,4400175.977106275,1.9241920620203019,1762.0327272727275
76.299998271350105,0,-105.22161706500331,39.751281207700231,481014.37011455797,4400175.9337987471,2.0587786436080933,1762.0340000000001
76.399998269084506,0,-105.2216177230589,39.751280881866919,481014.31365034153,4400175.897775379,1.948606824874878,1762.0353333333335
76.49999826681892,0,-105.22161838111448,39.751280556033592,481014.25718612509,4400175.8617520109,1.6757713198661803,1762.0366666666669
76.599998264553321,0,-105.22161903917005,39.75128023020028,481014.20072190859,4400175.8257286428,1.5424054861068726,1762.0380000000002
76.699998262287721,0,-105.22161969722562,39.751279904366946,481014.14425769215,4400175.7897052746,1.616565465927124,1762.0393333333336
76.799998260022136,0,-105.22162035528119,39.751279578533612,481014.08779347572,4400175.7536819065,1.644032073020935,1762.040666666667
76.89999825775655,0,-105.22162101333674,39.751279252700279,481014.03132925922,4400175.7176585384,1.8613239288330079,1762.0420000000004
76.999998255490951,0,-105.2216216713923,39.751278926866938,481013.97486504272,4400175.6816351712,1.6992705583572387,1762.0433333333337
77.099998253225351,0,-105.22162232944784,39.751278601033604,481013.91840082628,4400175.645611803,1.6568499326705932,1762.0446666666669
77.199998250959752,0,-105.22162298750338,39.751278275200256,481013.86193660984,4400175.6095884349,1.6608172893524169,1762.046
77.299998248694152,0,-105.22162364555892,39.751277949366916,481013.80547239335,4400175.5735650677,1.5674306392669677,1762.0473333333334
77.399998246428552,0,-105.22162430361445,39.751277623533575,481013.74900817685,4400175.5375417005,1.8799401879310609,1762.0486666666668
77.499998244162953,0,-105.22162496166996,39.75127729770022,481013.69254396041,4400175.5015183324,1.5628528833389281,1762.05
77.599998241897353,0,-105.22162561321763,39.751276944485959,481013.63662974659,4400175.4624546999,1.7230750381946565,1762.0507857142857
77.699998239631753,0,-105.22162626476528,39.75127659127169,481013.58071553276,4400175.4233910674,2.0038453459739687,1762.0515714285714
77.799998237366154,0,-105.22162691631293,39.751276238057422,481013.52480131894,4400175.3843274349,2.2943815350532533,1762.0523571428571
77.899998235100554,0,-105.22162756786058,39.75127588484316,481013.46888710512,4400175.3452638024,2.051149034500122,1762.0531428571428
77.999998232834955,0,-105.2216282194082,39.751275531628885,481013.4129728913,4400175.30620017,1.7029328227043152,1762.0539285714285
78.099998230569355,0,-105.22162887095584,39.751275178414609,481013.35705867747,4400175.2671365375,1.4783165931701661,1762.0547142857142
78.199998228303755,0,-105.22162952250346,39.751274825200326,481013.30114446359,4400175.228072905,1.2439344882965089,1762.0554999999999
